Injury Severity,Investigation Type,Country,Amateur Built,Aircraft Category,Airport Code,Aircraft Damage,Make,Broad Phase of Flight,Purpose of Flight,FAR Description,Weather Condition,Year,Month,Weekday,State
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Unknown,Part 91,VMC,1982,6,4, AK
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,3, FL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,TAKEOFF,Business,Part 91,VMC,1982,6,3, AZ
Non-Fatal,Accident,United States,No,Airplane,CUH,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,6,3, OK
Non-Fatal,Accident,United States,Yes,Gyrocraft,OM1,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,6,3, TN
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,DESCENT,Personal,Part 91,VMC,1982,6,2, ID
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,2, NY
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,2, IN
Non-Fatal,Accident,United States,No,Airplane,KGX,Substantial,Other,LANDING,Business,Part 91,VMC,1982,6,2, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, WA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,1, WA
Non-Fatal,Accident,United States,Yes,Airplane,N70,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,6,1, PA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,1982,6,1, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, TX
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Observation,Part 91,VMC,1982,6,1, TX
Non-Fatal,Accident,United States,No,Airplane,TRL,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,6,1, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Unknown,Part 137,VMC,1982,6,1, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Unknown,Part 137,VMC,1982,6,1, MN
Non-Fatal,Accident,United States,No,Airplane,CBG,Destroyed,Other,TAKEOFF,Instructional,Part 91,VMC,1982,6,1, MN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Business,Part 91,VMC,1982,6,1, MS
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,1982,6,1, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,0, KS
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,0, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Unknown,Part 91,VMC,1982,6,0, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,LANDING,Personal,Part 91,UNK,1982,6,0, NM
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,1982,6,0, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Business,Part 91,VMC,1982,6,0, AR
Non-Fatal,Accident,United States,No,Airplane,11,Substantial,Other,LANDING,Unknown,Part 91,VMC,1982,6,0, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,0, ND
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Unknown,Part 91,VMC,1982,6,0, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,6,0, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,0, AK
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,1982,6,6, OR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,6, NJ
Non-Fatal,Accident,United States,No,Airplane,PIE,Destroyed,Other,TAKEOFF,Unknown,Part 91,VMC,1982,6,6, FL
Non-Fatal,Accident,United States,No,Airplane,34,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,6, CA
Non-Fatal,Accident,United States,No,Airplane,5Q9,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,6, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,UNKNOWN,Personal,Part 91,VMC,1982,6,6, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Business,Part 91,VMC,1982,6,6, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,6, SD
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,DESCENT,Personal,Part 91,VMC,1982,6,6, OH
Fatal,Accident,United States,No,Airplane,3TR,Destroyed,Other,GO-AROUND,Instructional,Part 91,VMC,1982,6,6, MI
Non-Fatal,Accident,United States,No,Airplane,STE,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,6, WI
Incident,Incident,United States,No,Airplane,MCN,Minor,Other,TAKEOFF,Ferry,Part 91,VMC,1982,6,6, GA
Non-Fatal,Accident,United States,No,Airplane,MVC,Substantial,Other,LANDING,Ferry,Part 91,VMC,1982,6,6, AL
Fatal,Accident,United States,No,Airplane,8C3,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,5, IA
Non-Fatal,Accident,United States,No,Airplane,4V7,Substantial,Other,TAKEOFF,Aerial Application,Part 137,VMC,1982,6,5, NE
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,UNKNOWN,Personal,Part 91,VMC,1982,6,5, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,1982,6,5, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,5, LA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,5, LA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,UNKNOWN,Unknown,Part 91,VMC,1982,6,5, TX
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,1982,6,5, MT
Non-Fatal,Accident,United States,No,Airplane,61D,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,5, MI
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Business,Part 91,IMC,1982,6,5, OH
Fatal,Accident,United States,No,Airplane,SBY,Destroyed,Other,APPROACH,Personal,Part 91,IMC,1982,6,5, MD
Non-Fatal,Accident,United States,No,Airplane,AUO,Substantial,Other,APPROACH,Instructional,Part 91,VMC,1982,6,5, AL
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,APPROACH,Instructional,Part 91,VMC,1982,6,4, NY
Non-Fatal,Accident,United States,Yes,Airplane,3KM,Substantial,Other,TAKEOFF,Unknown,Part 135,VMC,1982,6,4, KS
Non-Fatal,Accident,United States,No,Airplane,LOL,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,4, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 91,VMC,1982,6,4, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,6,4, TX
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,IMC,1982,6,4, AL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,6,4, VA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Unknown,Part 137,VMC,1982,6,3, NY
Fatal,Accident,United States,No,Airplane,ITH,Destroyed,Other,TAKEOFF,Executive_Corporate,Part 91,VMC,1982,6,3, NY
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,1982,6,3, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CLIMB,Personal,Part 91,VMC,1982,6,3, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAXI,Unknown,Part 137,VMC,1982,6,3, TX
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Unknown,Part 133,VMC,1982,6,3, UT
Non-Fatal,Accident,United States,Yes,Glider,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,3, MN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,3, MS
Non-Fatal,Accident,United States,No,Airplane,SYR,Substantial,Other,TAXI,Personal,Part 91,VMC,1982,6,2, NY
Non-Fatal,Accident,United States,No,Airplane,DUJ,Substantial,Other,LANDING,Ferry,Part 91,VMC,1982,6,2, PA
Non-Fatal,Accident,United States,No,Airplane,SRU,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,6,2, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Aerial Application,Part 137,VMC,1982,6,2, MT
Incident,Incident,United States,No,Airplane,NonAirport,Minor,Other,CRUISE,Unknown,Part 135,VMC,1982,6,2, NC
Non-Fatal,Accident,United States,No,Airplane,0M3,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,6,2, TN
Non-Fatal,Accident,United States,No,Airplane,5A6,Substantial,Other,TAKEOFF,Business,Part 91,VMC,1982,6,2, MS
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,2, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, WA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,1, ME
Non-Fatal,Accident,United States,No,Airplane,7V7,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, NE
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, IA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,6,1, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,1, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,6,1, TX
Non-Fatal,Accident,United States,No,Airplane,GUC,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,6,1, CO
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Aerial Observation,Part 91,VMC,1982,6,1, OH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Business,Part 91,VMC,1982,6,1, AL
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,0, OR
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,1982,5,0, WA
Non-Fatal,Accident,United States,No,Airplane,HIO,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,0, OR
Non-Fatal,Accident,United States,No,Airplane,OR04,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,0, OR
Non-Fatal,Accident,United States,No,Airplane,17N,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,0, NJ
Non-Fatal,Accident,United States,No,Airplane,8G4,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,0, PA
Non-Fatal,Accident,United States,No,Airplane,FPR,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,1982,5,0, FL
Fatal,Accident,United States,No,Airplane,TRR,Destroyed,Other,GO-AROUND,Unknown,Part 91,VMC,1982,5,0, CA
Non-Fatal,Accident,United States,No,Airplane,L35,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,5,0, CA
Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Ferry,Part 91,VMC,1982,5,0, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,0, MT
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,1982,5,0, UT
Non-Fatal,Accident,United States,No,Airplane,SD32,Substantial,Other,MANEUVERING,Unknown,Part 137,VMC,1982,5,0, SD
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,1982,5,0, OH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,0, AK
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, MA
Non-Fatal,Accident,United States,No,Airplane,L01,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Unknown,Part 137,VMC,1982,5,6, AR
Non-Fatal,Accident,United States,Yes,Airplane,RLA,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, IL
Non-Fatal,Accident,United States,No,Balloon,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, IN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, MI
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,1982,5,6, VA
Non-Fatal,Accident,United States,No,Airplane,CEU,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, SC
Non-Fatal,Accident,United States,No,Airplane,MCZ,Destroyed,Other,CRUISE,Personal,Part 91,VMC,1982,5,6, NC
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,APPROACH,Aerial Application,Part 137,VMC,1982,5,5, NE
Non-Fatal,Accident,United States,No,Helicopter,MTH,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,5, FL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Business,Part 91,VMC,1982,5,5, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,APPROACH,Personal,Part 91,VMC,1982,5,5, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Aerial Application,Part 137,VMC,1982,5,5, TX
Non-Fatal,Accident,United States,No,Airplane,1F7,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,5, TX
Non-Fatal,Accident,United States,No,Airplane,OK98,Substantial,Other,MANEUVERING,Unknown,Part 137,VMC,1982,5,5, OK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Unknown,Part 91,VMC,1982,5,5, IL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,5, MN
Non-Fatal,Accident,United States,No,Airplane,Y68,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,5, MN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,5, WI
Non-Fatal,Accident,United States,No,Airplane,ORF,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,5,5, VA
Non-Fatal,Accident,United States,No,Helicopter,TRI,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,5, TN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Business,Part 91,VMC,1982,5,5, AL
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,1982,5,5, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,5, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,APPROACH,Instructional,Part 91,VMC,1982,5,5, AK
Non-Fatal,Accident,United States,No,Airplane,10,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,4, CA
Non-Fatal,Accident,United States,No,Airplane,PSP,Minor,Other,STANDING,Unknown,Part 135,VMC,1982,5,4, CA
Non-Fatal,Accident,United States,No,Airplane,PHX,Substantial,Other,TAXI,Personal,Part 91,VMC,1982,5,4, AZ
Non-Fatal,Accident,United States,No,Airplane,P53,Destroyed,Other,LANDING,Personal,Part 91,VMC,1982,5,4, AZ
Non-Fatal,Accident,United States,No,Airplane,SEZ,Substantial,Other,GO-AROUND,Personal,Part 91,VMC,1982,5,4, AZ
Non-Fatal,Accident,United States,No,Airplane,E75,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,4, AZ
Incident,Incident,United States,No,Airplane,NonAirport,Minor,Other,CRUISE,Executive_Corporate,Part 91,VMC,1982,5,4, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,4, TX
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,4, UT
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,GO-AROUND,Public Aircraft,Part 91,IMC,1982,5,4, MD
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,4, IN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,4, IN
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,3, CT
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,5,3, CT
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Unknown,Part 91,VMC,1982,5,3, FL
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,3, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,3, CA
Non-Fatal,Accident,United States,No,Airplane,Q60,Destroyed,Other,LANDING,Instructional,Part 91,VMC,1982,5,3, CA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,3, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,3, NM
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,3, SD
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Observation,Part 91,VMC,1982,5,3, WY
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,IMC,1982,5,3, MI
Non-Fatal,Accident,United States,No,Airplane,SPI,Substantial,Other,TAXI,Business,Part 91,VMC,1982,5,3, IL
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Unknown,Part 137,VMC,1982,5,3, MD
Fatal,Accident,United States,Yes,Helicopter,NonAirport,Destroyed,Other,CRUISE,Business,Part 91,VMC,1982,5,3, VA
Non-Fatal,Accident,United States,No,Airplane,KOZ,Substantial,Other,APPROACH,Unknown,Part 135,VMC,1982,5,3, AK
Non-Fatal,Accident,United States,No,Glider,N41,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,2, CT
Non-Fatal,Accident,United States,No,Airplane,46N,Substantial,Other,LANDING,Ferry,Part 91,VMC,1982,5,2, NY
Non-Fatal,Accident,United States,No,Airplane,SFO,Substantial,Other,TAXI,Unknown,Part 121,VMC,1982,5,2, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,2, CA
Non-Fatal,Accident,United States,No,Airplane,9M6,Substantial,Other,LANDING,Business,Part 91,VMC,1982,5,2, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,2, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,1982,5,2, TX
Non-Fatal,Accident,United States,No,Airplane,GFK,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,5,2, ND
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,2, OH
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,2, IL
Non-Fatal,Accident,United States,No,Airplane,S1O,Substantial,Other,LANDING,Business,Part 91,VMC,1982,5,1, WA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,1, PA
Non-Fatal,Accident,United States,No,Airplane,FRG,Substantial,Other,LANDING,Ferry,Part 91,IMC,1982,5,1, NY
Non-Fatal,Accident,United States,No,Airplane,GLD,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,1, KS
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,1, AZ
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,TAKEOFF,Unknown,Part 137,VMC,1982,5,1, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Business,Part 91,VMC,1982,5,1, UT
Non-Fatal,Accident,United States,No,Airplane,EVV,Substantial,Other,LANDING,Business,Part 91,VMC,1982,5,1, IN
Non-Fatal,Accident,United States,No,Airplane,C19,Substantial,Other,LANDING,Unknown,Part 135,VMC,1982,5,1, MI
Non-Fatal,Accident,United States,No,Airplane,9A7,Substantial,Other,GO-AROUND,Personal,Part 91,VMC,1982,5,1, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Unknown,Part 137,VMC,1982,5,0, FL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,0, FL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,0, CA
Non-Fatal,Accident,United States,No,Airplane,3CA4,Substantial,Other,LANDING,Business,Part 91,VMC,1982,5,0, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,TAKEOFF,Personal,Part 91,IMC,1982,5,0, AR
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,1982,5,0, AR
Non-Fatal,Accident,United States,No,Helicopter,ADH,Substantial,Other,LANDING,Instructional,Part 91,VMC,1982,5,0, OK
Non-Fatal,Accident,United States,No,Airplane,42C,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,0, MI
Non-Fatal,Accident,United States,No,Airplane,15S,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, WA
Non-Fatal,Accident,United States,No,Airplane,L71,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,APPROACH,Personal,Part 91,VMC,1982,5,6, AZ
Non-Fatal,Accident,United States,No,Airplane,6F3,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,6, OK
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Unknown,Part 91,VMC,1982,5,6, MN
Incident,Incident,United States,No,Airplane,NonAirport,Minor,Other,LANDING,Unknown,Part 135,VMC,1982,5,6, NC
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, MS
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,LANDING,Personal,Part 91,VMC,1982,5,6, AK
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, AK
Non-Fatal,Accident,United States,No,Airplane,AK14,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,6, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,1982,5,5, OR
Non-Fatal,Accident,United States,No,Airplane,9S1,Substantial,Other,LANDING,Unknown,Part 91,VMC,1982,5,5, WA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Unknown,Part 91,VMC,1982,5,5, CA
Fatal,Accident,United States,Yes,Glider,NonAirport,Destroyed,Other,MANEUVERING,Unknown,Part 91,VMC,1982,5,5, NV
Non-Fatal,Accident,United States,No,Airplane,SDL,Substantial,Other,LANDING,Unknown,Part 91,VMC,1982,5,5, AZ
Non-Fatal,Accident,United States,No,Airplane,67Q,Substantial,Other,LANDING,Aerial Application,Part 137,VMC,1982,5,5, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Unknown,Part 137,VMC,1982,5,5, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CLIMB,Personal,Part 91,VMC,1982,5,5, TX
Non-Fatal,Accident,United States,No,Airplane,COS,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,5, CO
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,IMC,1982,5,5, MI
Non-Fatal,Accident,United States,No,Airplane,4G3,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,1982,5,5, OH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,1982,5,5, VA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,IMC,1982,5,4, PA
Non-Fatal,Accident,United States,No,Airplane,0G7,Substantial,Other,APPROACH,Personal,Part 91,VMC,1982,5,4, NY
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Executive_Corporate,Part 91,VMC,1982,5,4, KS
